iter	Logloss
0	0.6876005859
1	0.6827593471
2	0.677785784
3	0.6736256278
4	0.669015067
5	0.6648936942
6	0.6606631557
7	0.6561997768
8	0.6520020926
9	0.6483443778
10	0.6446505301
11	0.6415448521
12	0.6382617188
13	0.6340993304
14	0.630594308
15	0.627367048
16	0.6247523019
17	0.621703404
18	0.619664202
19	0.6173533761
20	0.6149084124
21	0.6121989397
22	0.6095954241
23	0.6072209124
24	0.6048353795
25	0.6027797852
26	0.6004617746
27	0.5982686942
28	0.5961376953
29	0.5945396205
30	0.5923837193
31	0.5900601283
32	0.5880459682
33	0.5862289342
34	0.5844930246
35	0.5826641671
36	0.5808476214
37	0.5792768555
38	0.5772757045
39	0.5754802246
40	0.5738949498
41	0.5723770229
42	0.5707053223
43	0.569263637
44	0.5680112305
45	0.5661847796
46	0.5648218471
47	0.5632301549
48	0.5616601911
49	0.5605104632
50	0.5592684152
51	0.5581854422
52	0.5572085658
53	0.5560899135
54	0.5547750419
55	0.5536242327
56	0.5525090332
57	0.551040632
58	0.5496876744
59	0.5486892787
60	0.5474334891
61	0.546093471
62	0.5448959961
63	0.5440189732
64	0.5427589286
65	0.5416113281
66	0.5406357771
67	0.5393723493
68	0.5383454241
69	0.5372739607
70	0.5362223772
71	0.535055385
72	0.5339449637
73	0.5331580636
74	0.5321541574
75	0.5308692104
76	0.5298236607
77	0.5286243722
78	0.5275216239
79	0.5264264788
80	0.5255377372
81	0.5245511998
82	0.5238621652
83	0.5229024833
84	0.5220648717
85	0.5211907087
86	0.5202920619
87	0.5196245466
88	0.5186374512
89	0.51766619
90	0.5163942174
91	0.5153714425
92	0.5145401437
93	0.5137935965
94	0.5125320173
95	0.5119283273
96	0.5110184849
97	0.5100846819
98	0.5089915248
99	0.5080997489
100	0.5073205915
101	0.5064810965
102	0.505558524
103	0.5047924107
104	0.5040714983
105	0.5032015206
106	0.5023399484
107	0.5016189314
108	0.500921596
109	0.5002191336
110	0.49948012
111	0.4986560407
112	0.4978422154
113	0.4971075265
114	0.496306536
115	0.4956395787
116	0.4947516741
117	0.4939562988
118	0.4930101144
119	0.4923416922
120	0.4915967843
121	0.4908016183
122	0.4901282087
123	0.4894600656
124	0.4887934222
125	0.4880846819
126	0.4873553292
127	0.486504255
128	0.4856089216
129	0.4849059012
130	0.484129255
131	0.4834517997
132	0.482690639
133	0.4820752999
134	0.4813910784
135	0.4806156878
136	0.4799045061
137	0.4792250279
138	0.4785235421
139	0.4776751883
140	0.4770297852
141	0.4762725307
142	0.4756881278
143	0.475083252
144	0.4744846191
145	0.4739182478
146	0.4732261789
147	0.472468471
148	0.4718715123
149	0.4713162667
150	0.4706610979
151	0.4701387765
152	0.4696432757
153	0.4689739816
154	0.4684792829
155	0.4679408482
156	0.4673228237
157	0.4666597726
158	0.4660947963
159	0.4653642927
160	0.4648272879
161	0.4642196568
162	0.463459368
163	0.4628680943
164	0.4623788365
165	0.4618542829
166	0.4611903948
167	0.4606282785
168	0.4599675642
169	0.4593687221
170	0.4586996373
171	0.4582127511
172	0.4576641671
173	0.4569813756
174	0.4561861398
175	0.4554498465
176	0.4549437779
177	0.4543500628
178	0.4537938058
179	0.4532066476
180	0.4526286272
181	0.4519318499
182	0.45128976
183	0.45078976
184	0.4502486049
185	0.4496265695
186	0.4491827567
187	0.4486097238
188	0.4479475446
189	0.4475213449
190	0.4470724749
191	0.4465299247
192	0.446162493
193	0.4456989397
194	0.4449882813
195	0.4444230259
196	0.4438331124
197	0.4432949568
198	0.4427148437
199	0.4421912667
200	0.4417189593
201	0.4411668876
202	0.4404484515
203	0.4398319266
204	0.439363072
205	0.4389936175
206	0.4385188337
207	0.4381118862
208	0.4376271624
209	0.4372211217
210	0.4366590402
211	0.4361518555
212	0.435671596
213	0.4350615932
214	0.4345641392
215	0.4339194336
216	0.4332250628
217	0.432797433
218	0.4322975725
219	0.4318736049
220	0.4313503418
221	0.4309360352
222	0.4305048828
223	0.4300189035
224	0.4295576172
225	0.4290369001
226	0.4286147461
227	0.4279671805
228	0.4274361398
229	0.426980957
230	0.4265080218
231	0.4259312919
232	0.4254239328
233	0.4248740234
234	0.424336356
235	0.4238435756
236	0.4233729074
237	0.4228989258
238	0.4224103655
239	0.4218628627
240	0.421314767
241	0.4208963449
242	0.4204028669
243	0.4198009905
244	0.4192320731
245	0.4187393276
246	0.4181475307
247	0.4176516462
248	0.4170805664
249	0.4166915458
250	0.4161911621
251	0.4157328753
252	0.4153691406
253	0.4148542829
254	0.4141898368
255	0.413732945
256	0.4132997698
257	0.4128024554
258	0.412190918
259	0.4116341378
260	0.411086077
261	0.4105676618
262	0.4099489049
263	0.4095435965
264	0.4090922154
265	0.4085794503
266	0.4081846401
267	0.4077701939
268	0.4072850167
269	0.4067379325
270	0.4062143555
271	0.405609654
272	0.4049740513
273	0.4045609654
274	0.4038496791
275	0.4033254395
276	0.4027617885
277	0.4022743443
278	0.4017610212
279	0.4011619699
280	0.40069601
281	0.4001767578
282	0.3996373117
283	0.399091204
284	0.3984960938
285	0.3980187291
286	0.3974918039
287	0.3968721401
288	0.3963914621
289	0.3959384766
290	0.3953508301
291	0.3948859166
292	0.394450858
293	0.3939541016
294	0.393496861
295	0.3929241071
296	0.3923940778
297	0.3918216378
298	0.3911929757
299	0.390552281
300	0.3901248954
301	0.3894903739
302	0.3890381906
303	0.3886670271
304	0.3881736537
305	0.3877540109
306	0.3872424665
307	0.3866688756
308	0.3860919015
309	0.3855598842
310	0.3850477818
311	0.3845358189
312	0.3840421317
313	0.3833126744
314	0.3827958984
315	0.3823379255
316	0.3817940848
317	0.3813083147
318	0.3807168318
319	0.3801953823
320	0.3796186872
321	0.379152274
322	0.378557966
323	0.3779455915
324	0.3774001465
325	0.3767686942
326	0.3763201032
327	0.3758362514
328	0.3753334263
329	0.374769043
330	0.3742191336
331	0.3736122001
332	0.3729967913
333	0.3723805804
334	0.3718119071
335	0.3714144113
336	0.3708022461
337	0.3702972238
338	0.3697920968
339	0.3692866211
340	0.3687413156
341	0.3681600865
342	0.3675371443
343	0.3670591518
344	0.366418736
345	0.3658226144
346	0.3652506278
347	0.3647406529
348	0.36421024
349	0.3636367187
350	0.3630686384
351	0.362527553
352	0.3619403948
353	0.3613239397
354	0.3607377581
355	0.3600848563
356	0.3595199149
357	0.358986363
358	0.3584253627
359	0.3577732282
360	0.3572906669
361	0.3567606027
362	0.3562120884
363	0.3556255929
364	0.3550716727
365	0.3545433873
366	0.3539486607
367	0.3533423549
368	0.3528134417
369	0.3522429199
370	0.3517243304
371	0.3511833845
372	0.3505781948
373	0.3501171177
374	0.3494778878
375	0.348996582
376	0.3484807478
377	0.3479121443
378	0.3473666295
379	0.3467916434
380	0.3461746303
381	0.345632394
382	0.3451168736
383	0.3445919015
384	0.3440199847
385	0.3435017439
386	0.3429213867
387	0.3424075753
388	0.3419966867
389	0.3413954032
390	0.340732108
391	0.3401164202
392	0.3395604422
393	0.3390014648
394	0.3384646694
395	0.3378934152
396	0.3373239746
397	0.3367507324
398	0.3363850446
399	0.33582387
400	0.3352691127
401	0.3347436523
402	0.3342773438
403	0.3337805873
404	0.3331811523
405	0.3327064035
406	0.3322777623
407	0.3317952009
408	0.3312920619
409	0.3307956194
410	0.3302205985
411	0.3297355608
412	0.329231829
413	0.328679269
414	0.3281384975
415	0.3276818499
416	0.3271608189
417	0.3266047363
418	0.3260797991
419	0.3255560826
420	0.3250359933
421	0.3245607561
422	0.3240262626
423	0.3235121373
424	0.3230615932
425	0.3225486189
426	0.3220267508
427	0.3214869559
428	0.3209274902
429	0.3203759766
430	0.3198517718
431	0.3193949498
432	0.3188261719
433	0.3182686593
434	0.3177116699
435	0.3172640206
436	0.3166838728
437	0.3162469657
438	0.3157741699
439	0.3153016881
440	0.3147852958
441	0.3142911551
442	0.3137598005
443	0.3132372698
444	0.31266762
445	0.3122024623
446	0.3117467215
447	0.3113917062
448	0.3108307757
449	0.3104188407
450	0.3099264788
451	0.3094395229
452	0.308984096
453	0.3085901925
454	0.3080727539
455	0.3075980748
456	0.307124721
457	0.3066010742
458	0.3061282087
459	0.3055785086
460	0.305085798
461	0.3045853097
462	0.3041419852
463	0.3036857213
464	0.3032514997
465	0.3028655134
466	0.3023867188
467	0.3019304897
468	0.3014740513
469	0.3011033412
470	0.3005896345
471	0.3001102121
472	0.2996857561
473	0.2992538365
474	0.2987806222
475	0.2982841797
476	0.2977916085
477	0.297315918
478	0.2969333845
479	0.2964463588
480	0.2959360352
481	0.2954508231
482	0.2949094238
483	0.2944541016
484	0.2940952148
485	0.2936854771
486	0.2932484654
487	0.2927718331
488	0.2923504813
489	0.2919398717
490	0.2915443638
491	0.2911178502
492	0.2905979353
493	0.2902163783
494	0.2898754534
495	0.2893975656
496	0.288881522
497	0.2885084054
498	0.2881122872
499	0.2876516462
500	0.2871967773
501	0.2867783378
502	0.2863003976
503	0.28589985
504	0.2854392787
505	0.28501137
506	0.2845903843
507	0.2841561105
508	0.2836418108
509	0.2832296317
510	0.2828343331
511	0.2824831717
512	0.2820171945
513	0.2816200474
514	0.2811512102
515	0.2806996896
516	0.2802720424
517	0.2798770926
518	0.2794550432
519	0.2791177804
520	0.278773856
521	0.2783141392
522	0.2779079939
523	0.2774526367
524	0.2771685617
525	0.2767850342
526	0.2764123012
527	0.2760379987
528	0.2757168143
529	0.2752823661
530	0.2749054478
531	0.274572719
532	0.2742138846
533	0.2737731236
534	0.2733101283
535	0.2728010603
536	0.272427839
537	0.2720015695
538	0.2715903669
539	0.2712232317
540	0.2708736921
541	0.2704323382
542	0.2700096261
543	0.2696130545
544	0.2691848319
545	0.2688332345
546	0.2683645717
547	0.2679542062
548	0.2675703997
549	0.2671745954
550	0.2668841378
551	0.2664918562
552	0.2661190186
553	0.2657781459
554	0.2654136265
555	0.2650310931
556	0.2645954939
557	0.2641465716
558	0.2638590437
559	0.2634715402
560	0.2631418806
561	0.2627833775
562	0.26236649
563	0.2620338309
564	0.2616984515
565	0.2613025949
566	0.260948434
567	0.2606109445
568	0.2601253488
569	0.2598458078
570	0.2594312744
571	0.2590359061
572	0.2585840193
573	0.2582031773
574	0.2578223703
575	0.2574836251
576	0.2571063756
577	0.2567553711
578	0.2563800572
579	0.2559181083
580	0.2555239781
581	0.2551305106
582	0.2547970494
583	0.2544137486
584	0.2540491943
585	0.2536669573
586	0.2532535924
587	0.2528809989
588	0.2524296003
589	0.2520549316
590	0.2516929757
591	0.2513005894
592	0.2509184919
593	0.2505351563
594	0.2501280692
595	0.2498393555
596	0.2494586356
597	0.2490818743
598	0.2487334333
599	0.2483140346
600	0.2479757778
601	0.2475719866
602	0.2472012242
603	0.2467754778
604	0.2464588797
605	0.2460686384
606	0.2456700963
607	0.2452714844
608	0.2448513358
609	0.2445117885
610	0.2441526228
611	0.2438415004
612	0.2435913958
613	0.2432442453
614	0.2428996408
615	0.2426170829
616	0.2422742397
617	0.2419010184
618	0.2416246164
619	0.2412604632
620	0.2409486782
621	0.2406267264
622	0.240266183
623	0.2399178641
624	0.2395567453
625	0.2392359619
626	0.23890625
627	0.2385453055
628	0.2381569475
629	0.2378879395
630	0.2375204032
631	0.2371613421
632	0.2368028041
633	0.2364165911
634	0.2361116595
635	0.2358658622
636	0.2355638777
637	0.2352269985
638	0.2349428013
639	0.234592477
640	0.2342482213
641	0.233910941
642	0.2335527344
643	0.2331940744
644	0.2328572649
645	0.2324650181
646	0.2321653878
647	0.2318646763
648	0.2314980818
649	0.2312035784
650	0.2309022914
651	0.2306307547
652	0.2302695138
653	0.2299445103
654	0.2296094099
655	0.2293293631
656	0.2290765555
657	0.2288017578
658	0.2284455392
659	0.2280785086
660	0.2277525112
661	0.2274332101
662	0.2271346784
663	0.2268484584
664	0.2265685686
665	0.2262859933
666	0.2258947405
667	0.2256019636
668	0.2252867955
669	0.2248594796
670	0.2244760045
671	0.2241563372
672	0.2239644601
673	0.2235910645
674	0.2232007185
675	0.2228604562
676	0.222532959
677	0.2222019741
678	0.2218729771
679	0.2215731027
680	0.2212825056
681	0.2209855957
682	0.2207120187
683	0.2204378313
684	0.220165353
685	0.2198977225
686	0.2196255057
687	0.2193074777
688	0.2190556641
689	0.2187093506
690	0.2183588867
691	0.2180675049
692	0.217720023
693	0.2174322684
694	0.2171050851
695	0.216870867
696	0.2165385393
697	0.2162500349
698	0.215917341
699	0.2155961391
700	0.2153644148
701	0.2150478864
702	0.2147197614
703	0.2144179513
704	0.2141335798
705	0.2137997349
706	0.2134616874
707	0.2131322196
708	0.2128387277
